"GridNo","Yutm","Xutm","elev_ft_NG","StgJan05","Area","Distr_Pixel"
1,2944800,555200,15.7513098591549,16.2509503970423,11360000,19
2,2944800,561600,15.6583884892086,16.2564167144604,22240000,14
3,2938400,555200,15.6593624454148,16.3054672806987,36640000,40
4,2938400,561600,15.67003515625,16.3281730488281,40960000,44
5,2938400,568000,15.300512345679,16.2723484274691,25920000,47
6,2932000,555200,15.20826953125,16.3617350234766,40960000,77
7,2932000,561600,15.54026171875,16.2943964228516,40960000,81
8,2932000,568000,15.38702734375,16.1983161196094,40960000,84
9,2932000,574400,15.200743902439,16.1631274802439,13120000,87
10,2925600,555200,14.8790495867769,16.2207975071074,38720000,116
11,2925600,561600,15.27282421875,16.2446360964062,40960000,132
12,2925600,568000,15.29625,16.1955049710156,40960000,135
13,2925600,574400,15.031864,16.16318367016,2e+07,138
14,2919200,555200,14.3063548387097,16.1337898004301,14880000,141
15,2919200,561600,14.6475,16.2327364979297,40960000,160
16,2919200,568000,15.1176171875,16.0580292602344,40960000,164
17,2919200,574400,14.8699367088608,15.7447268564557,12640000,167
18,2912800,561600,13.2511627906977,16.2711501231395,13760000,169
19,2912800,568000,14.4986850393701,15.9057409706299,20320000,177
20,2912800,574400,14.4241578947368,15.3657893631579,3040000,175
