S5A,S5AS,G300,G301,S362,ACME1,ACME2,G251,G310,G338,S6,G94C,G94B,G94A,S10E,S10D,S10C,S10A,S39
,,0,0,0,0,0,0,184.73,0,,-125.23,0,0,0,0,0,0,0
,,0,0,0,0,0,0,184.91,0,,-125.53,0,0,0,0,0,0,0
,,0,0,0,0,0,0,131.21,0,,-127.26,0,0,0,0,0,0,-44.15
,,0,0,0,0,0,0,92.16,-0.87,,-129.36,0,0,0,0,0,0,-5.4
,,0,0,0,0,0,0,91.49,0,,-126.17,0,-90.33,0,0,0,0,-47.74
,,-0.04,0,0,0,0,140.33,148.92,0,,-112.9,0,-148.19,0,0,0,0,-21.18
,,0,0,0,0,0,220.22,185.45,-0.11,,-104.94,0,-148.08,0,0,0,0,-64.82
,,0,0,0,0,0,216.7,180.92,0,,-101.22,0,-148.01,0,0,0,0,-18.52
,,0,0,0,0,0,210.96,181.26,0,,-96.97,0,-147.92,0,0,0,0,0
,,0,0,0,0,0,74.89,311.15,0,,-90.03,0,-147.64,0,0,0,0,0
,,0,0,0,0,0,0,171.17,0,,-76.04,0,-53.93,0,0,0,0,-54.3
,,0,0,0,0,0,0,333.22,0,,-86.12,0,0,0,0,0,0,-15.9
,,0,0,0,0,0,4.46,128.45,0,,-93.92,0,0,0,0,0,0,0
,,0,0,0,0,0,29.9,101.86,0,,-36.18,0,0,0,0,0,0,0
,,0,0,0,0,0,138.3,176.95,0,,0,0,0,0,0,0,0,0
,,0,0,0,0,0,179.76,175.17,0,,0,0,0,0,0,0,0,0
,,0,0,0,0,0,209.01,175.38,0,,-84.25,0,0,0,0,0,0,0
,,0,-0.19,0,0,0,175.95,588.83,0,,-137.91,0,-94.27,0,0,0,0,0
,,0,0,0,0,0,0,491.64,-1.43,,-119.09,0,-58.24,0,0,0,0,0
,,0,-19.15,0,0,0,49,439.31,0,,-111.96,0,0,0,0,0,0,0
,,0,0,0,0,0,40.71,335.02,0,,-122,0,0,0,0,0,0,0
,,0,0,0,0,0,0,0,0,,-120.44,0,0,0,0,0,0,0
,,0,0,0,0,0,0,0,0,,-106.79,0,0,0,0,0,0,0
,,0,0,0,0,0,87.94,54.08,0,,-102.85,0,-0.52,0,0,0,0,0
,,0,0,0,0,0,49.85,52.68,0,,-94.68,0,0,0,0,0,0,0
,,-0.12,0,0,0,0,0,43.81,0,,-106.43,0,0,0,0,0,0,0
