S5A,STA1W,WCA1ME,1-8C,S6,S39
0,0,0,0,0,0.01
0,0,0,0,0,0
0,0,0,0,0,0.01
0,0,0,0,0,0
0,0,0.02,0,0,0.01
0,0,0.04,0,0,0.02
0,0.01,0,0,0,0.01
0,0,0,0,0,0
0,0,0,0,0,0.01
0,0,0,0,0,0.01
0,0,0,0.01,0,0.01
0,0,0,0,0,0.01
0.05,0,0,0,0,0.01
0.43,0.39,0.63,1.48,0.48,1.33
0.12,0.07,0.28,0.17,0.22,0.22
0.01,0,0,0,0,0.01
0,0,0,0,0.01,0
0,0,0,0,0.01,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0.01,0
0.02,0.01,0,0,0,0
0,0.03,0.09,0.13,0.16,0.02
0,0,0,0,0,0.03
0.18,0,0,0,0.01,0.01
0,0,0,0,0,0
0,0,0,0,0,0.29
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0.01,0,0
0.37,0,0,0,0,0
0,0,0,0,0,0
0.02,0,0,0,0.01,0
0.01,0,0,0.01,0.01,0
0.11,0,0,0,0,0
0,0,0,0,0,0
0.01,0,0,0,0,0
0.01,0,0,0,0,0
0,0,0,0,0.01,0.02
0.01,0,0,0,0,0.02
0,0,0,0,0.01,0.02
0,0,0,0,0,0.01
0,0,0,0,0,0.01
0.01,0,0,0,0,0.01
0,0,0,0,0,0.01
0,0,0,0,0,0
0,0,0,0,0,0.01
0,0,0,0,0,0.01
0,0,0,0,0,0.02
0.08,0,0,0,0,0.01
0,0,0,0,0,0.01
0.02,0.01,0,0,0,0.01
0.94,0.28,0.31,0.29,0.29,0.07
0.07,0.26,0,0,0,0.01
0.46,0.36,0.3,0.23,0.23,0.03
0,0,0,0,0,0
0,0,0,0,0,0.01
0,0,0,0,0,0.02
0.31,0.39,0.75,0.67,0.71,0.65
0,0.4,0.34,0.33,0.21,0.36
0,0,0,0,0.01,0.02
0,0,0,0,0,0.01
0,0,0,0,0,0.01
0.01,0.01,0.02,0.01,0.02,0.03
2.45,2.72,3.15,2.42,2.37,1.97
0.04,0.04,0.13,0.13,0.08,0.05
0,0,0,0,0,0.01
0,0,0,0,0,0.01
0,0,0,0,0,0.02
0,0,0,0,0,0.01
0,0,0,0,0,0
0,0,0.02,0.01,0,0.06
1.6,0.9,1.78,1.37,1.44,1.28
0,0.03,0.02,0.02,0.02,0.03
0,0,0,0,0.01,0.02
0,0,0,0,0.01,0.01
0,0,0,0,0,0.01
0,0,0,0,0,0.01
0.02,0.14,0.15,0,0.07,0.04
0,0,0,0,0,0
0,0,0,0,0,0
0.13,0.12,0.66,0.7,2.13,0.01
0.01,0,0,0,0.01,0
0,0,0,0.02,0,0.01
0,0,0,0,0,0.02
0,0,0,0,0,0.01
0,0,0,0,0,0.01
0,0,0,0,0,0.02
0.01,0.05,0.13,0.09,0.08,0.12
0,0,0,0,0.01,0.02
0,0,0,0,0.01,0.02
0,0,0,0,0.01,0.02
0,0,0,0,0,0.02
0.34,0.38,0.1,0.1,0.08,0.01
0.61,0.52,1.92,1.15,0.93,1.19
0,0,0,0,0,0.01
0,0,0,0,0,0.02
0,0.01,0,0,0.01,0.02
0,0,0,0,0,0.01
0.01,0.08,0,0,0.01,0.01
0,0,0,0,0,0.01
0,0,0,0,0,0.02
0,0,0,0,0.01,0.01
0,0,0,0,0.01,0.02
0.01,0,0,0,0.07,0.02
0,0,0,0,0.01,0.01
0,0,0,0,0,0.02
0,0,0,0,0.01,0.02
0,0.03,0,0,0.01,0.02
0,0,0,0,0.01,0.01
0.08,0,0.03,0,0,0.02
0,0,0,0,0.01,0.01
0,0,0,0,0.01,0.02
0.27,0.17,0.27,0.23,0.17,0.21
0,0,0,0,0,0.04
0,0,0,0,0.04,0.04
0,0,0,0,0,0.01
0,0,0,0,0,0.01
0,0.02,0.15,0.53,0.05,0.04
0.32,1.44,0.16,0.09,0.17,0.23
0,0.66,0.71,0.43,0.49,0.92
0.13,0.17,0.26,0.31,0.02,0.13
0,0,0,0,0,0.07
0,0,0,0,0,0.08
0,0,0,0,0.01,0.07
0,0,0,0,0,0.06
0,0,0,0,0,0.07
0,0,0,0,0.01,0.04
0,0,0,0,0,0.32
0,0.02,0,0,0,0.03
0,0,0,0,0,0.01
0.22,0.12,0,0.01,0,0.01
0,0,0,0,0.01,0.05
0,0,0,0.05,0,0.01
0,0,0,0,0,0.01
0,0,0,0,0,0.02
0,0,0,0,0,0.02
1.21,0.9,0.33,0.12,0.75,0.24
0,0,0,0,0.01,0.02
0.01,0.23,0.05,0.36,0,0.01
0,0,0,0,0.01,0.01
0.5,0.3,0.25,0.21,0.06,0.03
0.58,0.7,0.3,0.19,0.46,0.16
0.01,0.03,0,0.01,0.01,0.02
0,0,0,0.41,0.01,0.01
0,0,0,0.14,0.34,0.68
0.83,1.29,0.05,0.09,0.96,0.02
1.14,1.46,0.62,0.57,1.14,0.43
1.06,1.28,1.19,1.06,1.46,2.04
0.52,1.1,0.88,1.24,0.85,0.7
0.52,1.51,0.48,0.3,0.52,0.65
0.19,0.06,0.14,0.14,0.19,0.26
0,0.02,0.84,0.24,0.05,0.39
0.01,0,0.09,0.18,0,0.06
0.5,0.73,1.06,0.12,2.55,0
0,0.01,0,0,0.01,0.01
0,0,0,0.03,0.21,0.09
0,0.97,0.72,0.41,0.84,0.72
0,0.13,1.02,0.84,0.03,0.33
0,0,0,0,0,0
0,0,0,0,0,0.01
0,0,0,0,0,0.01
0,0,0,0,0,0.01
0,0,0,0.94,0.17,0.04
0,0,0,0,0.01,0.76
0,0.18,0.96,1.24,1.8,1.13
0,0.01,0.51,0.33,0.53,0.32
0,0.37,0.85,0.69,0.72,1.06
0,0.05,0.05,0.1,0.04,0.07
