North,1-7M,1-8T,1-8C,1-9M,South
16.39,16.28,16.19,16.2,16.21,16.2
16.39,16.28,16.19,16.19,16.19,16.19
16.38,16.27,16.18,16.18,16.18,16.18
16.37,16.25,16.17,16.18,16.17,16.17
16.36,16.25,16.17,16.17,16.16,16.16
16.36,16.25,16.15,16.14,16.16,16.15
16.36,16.25,16.14,16.14,16.15,16.14
16.35,16.24,16.13,16.12,16.14,16.13
16.34,16.23,16.13,16.12,16.13,16.12
16.33,16.22,16.12,16.11,16.11,16.12
16.32,16.21,16.11,16.1,16.1,16.11
16.32,16.2,16.1,16.09,16.09,16.1
16.31,16.2,16.08,16.05,16.09,16.09
16.35,16.22,16.12,16.13,16.12,16.11
16.42,16.27,16.22,16.24,16.19,16.19
16.42,16.27,16.24,16.25,16.2,16.2
16.4,16.24,16.23,16.24,16.18,16.19
16.4,16.23,16.21,16.22,16.17,16.19
16.38,16.22,16.2,16.21,16.17,16.19
16.38,16.21,16.2,16.21,16.16,16.18
16.37,16.2,16.21,16.21,16.15,16.18
16.36,16.2,16.19,16.19,16.15,16.17
16.36,16.19,16.19,16.18,16.15,16.16
16.35,16.19,16.16,16.16,16.14,16.14
16.34,16.18,16.15,16.14,16.13,16.13
16.34,16.17,16.14,16.14,16.12,16.11
16.33,16.16,16.13,16.12,16.11,16.1
16.32,16.16,16.12,16.08,16.1,16.08
16.31,16.15,16.07,16.04,16.09,16.07
16.3,16.14,16.07,16.06,16.08,16.06
16.3,16.13,16.06,16.05,16.07,16.04
16.28,16.12,16.06,16.04,16.05,16.03
16.28,16.11,16.04,16.02,16.04,16.02
16.27,16.11,16.02,16,16.03,16
16.27,16.1,16,15.97,16.03,15.98
16.26,16.09,15.98,15.96,16.01,15.96
16.25,16.08,15.96,15.93,16,15.95
16.24,16.08,15.95,15.92,15.99,15.94
16.23,16.07,15.94,15.91,15.97,15.92
16.22,16.07,15.92,15.89,15.96,15.91
16.22,16.05,15.91,15.89,15.95,15.89
16.2,16.03,15.89,15.86,15.94,15.85
16.19,16.01,15.87,15.83,15.91,15.82
16.17,16,15.85,15.79,15.9,15.8
16.16,16,15.83,15.77,15.88,15.78
16.15,15.99,15.82,15.75,15.87,15.77
16.14,15.99,15.8,15.74,15.87,15.75
16.12,15.98,15.78,15.73,15.85,15.73
16.11,15.96,15.77,15.7,15.84,15.71
16.09,15.95,15.74,15.66,15.83,15.69
16.08,15.94,15.72,15.64,15.81,15.67
16.07,15.93,15.71,15.62,15.79,15.65
16.05,15.92,15.7,15.6,15.79,15.62
16.04,15.91,15.68,15.57,15.77,15.59
16.03,15.91,15.66,15.57,15.76,15.57
16.06,15.92,15.66,15.6,15.76,15.57
16.09,15.94,15.67,15.64,15.77,15.59
16.14,15.95,15.69,15.7,15.77,15.62
16.15,15.96,15.71,15.73,15.78,15.65
16.13,15.94,15.71,15.73,15.77,15.65
16.11,15.92,15.7,15.69,15.76,15.65
16.1,15.92,15.69,15.68,15.75,15.65
16.21,15.99,15.77,15.78,15.83,15.73
16.21,15.99,15.78,15.81,15.82,15.74
16.19,15.97,15.78,15.81,15.8,15.75
16.18,15.96,15.78,15.8,15.78,15.76
16.18,15.96,15.78,15.81,15.77,15.76
16.29,16.04,15.86,15.88,15.86,15.82
16.45,16.19,16.03,16.08,16.02,15.97
16.44,16.18,16.09,16.17,16,16.03
16.42,16.16,16.13,16.18,15.99,16.08
16.4,16.15,16.14,16.17,15.99,16.1
16.39,16.14,16.14,16.17,15.99,16.1
16.38,16.12,16.14,16.16,16.01,16.1
16.36,16.12,16.13,16.17,16.01,16.11
16.41,16.15,16.17,16.18,16.05,16.13
16.5,16.25,16.28,16.32,16.17,16.23
16.48,16.23,16.31,16.36,16.17,16.25
16.47,16.21,16.32,16.35,16.17,16.27
16.45,16.2,16.31,16.34,16.19,16.29
16.44,16.2,16.31,16.32,16.2,16.29
16.43,16.19,16.31,16.35,16.21,16.29
16.43,16.19,16.32,16.33,16.21,16.27
16.41,16.18,16.3,16.33,16.21,16.27
